Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
02 Dec 2024 21:03:11 GMT,0.25,904.7690956975,0xc6f650bb1f8f4bb5f2d0a9b4e20566bcee7ca05b,0xc6f650bb1f8f4bb5f2d0a9b4e20566bcee7ca05b,0xf4f8a2ae517aa49847dad369a2ac459ba3fce859ddc0b40b0d0c73e9e20a9ce9
02 Dec 2024 21:02:59 GMT,1.293,4679.46576294747,0xbc603b30f755126878eecec3cd0dd9d0f81f7b31,0xbc603b30f755126878eecec3cd0dd9d0f81f7b31,0x19449cd677aecb3db9f24b0ede22e4191f1f4e5f278243f5e8210a4877e429ed
02 Dec 2024 19:54:47 GMT,0.03,107.913759,0xfca977dc7e65c3e3434c0d3e9523bb39337b02ae,0xfca977dc7e65c3e3434c0d3e9523bb39337b02ae,0x4ffbbcad22138080150dbe838fb67f80863e6fa96357257d6d52d3c18f133f8e
02 Dec 2024 19:42:47 GMT,0.6,2158.27518,0x8dceeb78462b002d71526ad0cefb68bc3b001367,0x8dceeb78462b002d71526ad0cefb68bc3b001367,0x33dde82a24281bb5842f9d1cc7083c6deb126e9ba3d3bb631588da671056e97a
02 Dec 2024 19:31:59 GMT,0.04,143.885012,0x81df4327debead6b30f7a3432436024b709989ed,0x81df4327debead6b30f7a3432436024b709989ed,0xb0b69635f3e11e230f2e50455f4242fbf5011a1af78b1ca11c496815bcc7841f
02 Dec 2024 19:21:11 GMT,0.3,1079.13759,0xa0d7b5cb0f57afe5a3746607a2d60ce9c2cfde5f,0xa0d7b5cb0f57afe5a3746607a2d60ce9c2cfde5f,0x06ac936836eaef037ac7ee30e447fd7d626171ba71cbaacbf70389af5eafe9c0
02 Dec 2024 19:16:59 GMT,0.05,179.856265,0x9fd4e48e30b9364c6bb3060eff88b62e51252ab1,0x9fd4e48e30b9364c6bb3060eff88b62e51252ab1,0xd24c7375c44b7770cba4416c93b91f1704012b02c892d682ba53ca75b4f2caee
02 Dec 2024 19:12:59 GMT,0.025,89.9281325,0x3524b2d9af57d3cf852a5f547152e061aa011139,0x3524b2d9af57d3cf852a5f547152e061aa011139,0xc97c1cb48bf10494aa7d92ef852bdc5c59fe22a2239eb8b274279b0cb2cb9077
02 Dec 2024 19:12:11 GMT,0.088895957463,319.7698976578811139,0xd7b50c006cb41a31c9a527401fff657f87b79f94,0xd7b50c006cb41a31c9a527401fff657f87b79f94,0x532725a67f469a3c8e154b584af494a1ae8ee02ba4ee5d7c7923ef1528512dd8
02 Dec 2024 19:00:47 GMT,0.085,307.4181145,0xec55d60a4a69e1f8672917655d8c1d7824192420,0xec55d60a4a69e1f8672917655d8c1d7824192420,0x0cec89539cf9e765256c65995aea14cf1e0a44d9d75c58c5a5ffabf9aac12468
02 Dec 2024 18:44:23 GMT,0.5,1808.34185,0xe6228dfa20400f8988d71bcd6c8460ed13a7c49f,0xe6228dfa20400f8988d71bcd6c8460ed13a7c49f,0xecc9c52b120373914db441e429fb3b94042976937bb8a4ff112eff0995fcd10b
02 Dec 2024 18:44:11 GMT,2,7233.3674,0xcee121e857986fc4abb957a608e56674b13ef714,0xcee121e857986fc4abb957a608e56674b13ef714,0xced8e06bc3cfe80d70bf11f8b708c03a9a7c2199e19b5ab3315a878644b18f29
02 Dec 2024 18:32:47 GMT,0.2,723.33674,0x979773c9e63de3b6ab1333f644900ac78b1c68d6,0x979773c9e63de3b6ab1333f644900ac78b1c68d6,0xdf3167b35fad8d4cf3ac304bdf60f67f8751ec0c17d5fd987864d52660a5f451
02 Dec 2024 18:30:47 GMT,1,3616.6837,0x54e3aaee75c0d023171b22d18ea231c06aa86ec6,0x54e3aaee75c0d023171b22d18ea231c06aa86ec6,0xc79c4d431b68c9a2d32135ce3c281a361dc0a0fe847dc8ba1c52f5c8fad89f02
02 Dec 2024 18:26:47 GMT,1.9,6871.69903,0x0692ee6b5c88870da8105afeaa834a20091a29ff,0x0692ee6b5c88870da8105afeaa834a20091a29ff,0x6dacf437bf36bcd79a292d4a9431d14b13bcdbf2ec89cdb0c976b84fb1753ad7
02 Dec 2024 18:21:11 GMT,0.5,1798.864299135,0xe6228dfa20400f8988d71bcd6c8460ed13a7c49f,0xe6228dfa20400f8988d71bcd6c8460ed13a7c49f,0x5972bff258d79e17e00a181f46672cf6e5e40f2dc81629e7d59cb2f08169357c
02 Dec 2024 18:11:11 GMT,1,3597.72859827,0x196da80a492ef4f4e5d475b7c695b3c5bf9105e3,0x196da80a492ef4f4e5d475b7c695b3c5bf9105e3,0x1b994a65f88c7571e39afebecff0a66bf6efa1e84bd2238f4e4c54aedcbc4e78
02 Dec 2024 18:07:59 GMT,0.85,3042.6855,0xfb7cc4982e6b341d072b98c50295da9cda16f56e,0xfb7cc4982e6b341d072b98c50295da9cda16f56e,0xbb95a17b0c66ed97ac384dfcad0177531fba30e09ca04963fe31e35e3b4dd744
02 Dec 2024 18:00:59 GMT,1.4,4981.34546,0x4cfc1491f1609cfe63e3d43ebddae5834067f045,0x4cfc1491f1609cfe63e3d43ebddae5834067f045,0xe93cbf8f3ac95b700e1109ace5f6c634364d4cd15053bc223cc174912b7a5b09
02 Dec 2024 17:43:59 GMT,5,18025.95,0x387db7302f0381072ff79a25a28e7a3bb9ee97d5,0x387db7302f0381072ff79a25a28e7a3bb9ee97d5,0x5489d8ef5ce250ccc04b646bd68e38d670c99e3430bb8328f9a9f0ba3144c912
02 Dec 2024 17:41:11 GMT,1,3605.19,0x66666f3364cf650699299f08e37b5d5cedae6d29,0x66666f3364cf650699299f08e37b5d5cedae6d29,0x3a5925dc238b3d60f40b1b166b058d13dd7bc0e724c90ce362f8aa2032f0be49
02 Dec 2024 17:40:59 GMT,0.1,360.519,0x9b818ad72e4b3cd03bcbe4848a44b274618c4cbe,0x9b818ad72e4b3cd03bcbe4848a44b274618c4cbe,0xa89ec1f26e01627527917c488de43c6cb4af96ce408294f8318d252893b2cd85
02 Dec 2024 17:32:47 GMT,1,3605.19,0x47917fca14069885f85e6f52bd9623564e715dda,0x47917fca14069885f85e6f52bd9623564e715dda,0x44fb629181847ff9ef36d2024ba7244b6299a891cac17c9868c3d60a3b6c4f61
